s_id,u_id,return_count,returns nms,return_count similar,nonreturn_count,return_shape
3314,698,4,2,0,1,0
3314,706,5,1,1,0,2
3314,17381,5,5,0,0,0
3314,4013,4,2,1,1,1
3314,4270,9,4,1,1,3
3314,14632,4,1,2,1,1
3314,3537,9,3,0,1,5
3314,644,4,1,1,1,2
3314,14661,0,0,0,5,0
3314,9010,4,0,3,1,0
3314,4143,5,2,0,0,3
3314,3810,5,3,0,0,1
3314,5760,6,0,4,5,2
3314,6204,4,3,0,0,0
3314,12280,5,0,1,0,2
3314,6452,12,5,4,3,3
3314,15926,2,0,1,9,0
3314,4370,10,1,2,0,6
3314,6040,7,4,0,0,2
3314,4185,4,2,0,1,0
3314,5417,5,0,2,0,2
3314,11239,3,2,1,2,0
3314,5203,5,4,0,0,0
3314,4747,5,2,0,5,2
3314,4663,8,3,1,2,2
3314,8226,7,2,0,3,0
3314,10828,5,0,0,0,4
3314,17314,5,0,0,0,3
3314,6895,17,7,3,3,3
3314,4566,10,7,1,5,1
3314,509,8,4,3,7,0
3314,2077,8,1,1,3,6
3314,5426,5,3,0,0,0
3314,5153,5,2,1,0,1
3314,5004,6,5,0,2,0
3314,8506,5,5,0,0,0
3314,6127,3,0,0,2,2
3314,4016,6,2,3,4,1
3314,13221,5,3,2,0,0
3314,18672,5,4,1,0,0
3314,5246,19,7,5,7,5
3314,4911,5,4,0,0,1
3314,5228,14,2,9,5,2
3314,7882,3,2,0,2,1
3314,4209,4,1,0,1,2
3314,8716,4,2,1,1,1
3314,15857,10,8,0,0,0
3314,4440,0,0,0,4,0
3314,2055,7,3,0,3,3
3314,19143,0,0,0,5,0
3314,7964,8,1,3,2,3
3314,17941,2,0,0,2,2
3314,7041,10,1,6,0,1
3314,17009,4,0,1,1,0
3314,3215,2,0,1,2,1
3314,7222,5,1,0,0,0
3314,3240,37,22,4,1,8
3314,7198,5,0,1,0,4
3314,1341,8,2,0,2,5
3314,14674,4,1,0,1,1
3314,8548,5,4,0,0,0
3314,2192,8,2,3,2,1
3314,13441,10,2,3,0,2
3314,17497,0,0,0,5,0
3314,9365,3,2,1,2,0
3314,5332,9,5,1,6,1
3314,1740,0,0,0,5,0
3314,259,5,1,3,0,0
3314,807,3,1,0,2,1
3314,15793,5,4,0,0,0
3314,6032,6,3,0,0,2
3314,7178,16,9,2,4,2
3314,15643,9,1,0,1,4
3314,7877,4,3,0,1,0
3314,3333,3,1,1,2,1
3314,14340,1,0,1,3,0
3314,4635,6,4,0,4,1
3314,15616,5,0,2,0,0
3314,14139,3,1,0,2,0
3314,4958,12,9,2,6,1
3314,1828,5,2,1,1,2
3314,8883,6,3,2,4,1
3314,7243,5,5,0,0,0
3314,4365,5,2,0,0,3
3314,18413,5,2,0,0,2
3314,12489,5,2,2,0,0
3314,6886,5,3,0,0,0
3314,9788,4,1,1,1,1
3314,520,4,2,2,2,0
3314,7367,3,1,0,1,2
3314,1915,8,0,3,7,4
3314,9782,5,3,1,0,1
3314,643,4,3,0,1,1
3314,5875,5,3,0,0,0
3314,10659,4,2,0,1,1
3314,3717,12,4,3,4,2
3314,1434,3,1,0,2,1
3314,16946,4,4,0,1,0
3314,3408,1,0,0,9,1
3314,4997,5,1,0,0,2
3314,7986,15,6,1,5,8
3314,6389,9,3,1,1,5
3314,1151,2,0,2,3,0
3314,12628,13,11,2,7,0
3314,3424,0,0,0,10,0
3314,708,5,3,0,0,0
3314,3837,5,1,3,0,0
3314,9805,5,4,1,0,0
3314,12727,3,2,1,2,0
3314,3826,3,1,0,2,2
3314,1730,5,2,1,0,1
3314,14643,5,0,2,0,0
3314,14239,3,3,0,0,0
3314,502,17,9,1,5,5
3314,5211,1,0,1,5,0
3314,2230,1,0,0,4,1
3314,7271,2,0,2,3,0
3314,4843,13,5,5,5,0
3314,10306,0,0,0,5,0
3314,4940,5,1,1,0,2
3314,16901,5,1,1,0,1
3314,310,12,4,3,3,5
3314,840,4,1,0,2,3
3314,1926,5,2,1,0,1
3314,6888,2,0,0,3,1
3314,606,5,1,0,0,0
3314,3660,5,0,3,0,1
3314,7912,9,3,4,1,0
3314,18960,0,0,0,5,0
3314,18585,3,0,0,2,1
3314,14673,8,3,2,2,0
3314,7585,4,0,1,1,0
3314,9480,5,0,0,0,5
3314,6217,10,4,2,1,2
3314,17309,5,3,1,0,0
3314,4541,3,0,1,2,2
3314,3840,5,3,1,1,0
3314,4443,7,2,2,3,3
3314,14564,5,2,1,0,0
3314,7785,5,0,2,0,3
3314,661,9,8,0,1,0
3314,9705,7,2,0,3,5
3314,9217,9,3,3,2,1
3314,17199,5,0,1,0,2
3314,4368,1,0,1,4,0
3314,17867,5,0,0,0,0
3314,5613,5,2,1,0,2
3314,3522,4,2,0,1,2
3314,4076,3,0,0,2,2
3314,3741,8,4,3,3,0
3314,6768,5,0,0,0,5
3314,4764,15,9,0,5,3
3314,18040,4,0,0,1,0
3314,2675,5,5,0,0,0
3314,4156,8,5,1,3,2
3314,1893,3,1,0,2,2
3314,17658,5,2,0,0,0
3314,10066,7,0,2,3,4
3314,2134,7,1,2,3,2
3314,16444,0,0,0,5,0
3314,4356,5,0,1,0,0
3314,12017,5,5,0,0,0
3314,1664,7,0,1,9,5
3314,963,5,5,0,0,0
3314,2267,2,1,1,3,0
3314,3629,12,6,1,8,2
3314,3965,0,0,0,5,0
3314,269,2,2,0,3,0
3314,14826,5,0,0,0,1
3314,17692,4,1,1,1,2
3314,1599,3,1,1,2,1
3314,12259,5,2,2,0,1
3314,4333,3,1,0,2,2
3314,11346,5,0,1,0,0
3314,7750,4,1,0,1,1
3314,5485,5,1,0,0,3
3314,2106,5,5,0,0,0
3314,12740,4,1,0,1,0
3314,7152,3,3,0,2,0
3314,3131,9,3,3,5,0
3314,4519,5,2,1,0,1
3314,4776,0,0,0,5,0
3314,1350,23,8,5,8,9
3314,2054,10,5,1,0,3
3314,2301,15,11,1,5,2
3314,15889,5,2,0,0,2
3314,5408,25,19,1,3,2
3314,12379,3,0,0,1,1
3314,16574,10,4,3,0,0
3314,1458,5,3,0,0,0
3314,4939,7,5,1,3,1
3314,15815,5,1,1,0,1
3314,4201,10,8,1,0,0
3314,10114,10,1,0,0,0
3314,4320,5,0,0,0,3
3314,5759,4,4,0,0,0
3314,18766,0,0,0,5,0
3314,14630,5,5,0,0,0
3314,4800,17,9,4,3,3
3314,5876,3,1,0,2,0
3314,9055,2,1,1,3,0
3314,18699,5,2,0,0,0
3314,2490,3,0,0,2,3
3314,1383,4,0,1,1,2
3314,7105,4,2,1,1,0
3314,2471,5,0,0,0,5
3314,3165,2,1,1,4,0
3314,4385,5,1,2,0,0
3314,6585,5,3,0,0,1
3314,1423,9,6,1,2,1
3314,5815,2,0,1,4,1
3314,4579,7,3,0,4,3
3314,611,3,2,1,2,0
3314,10000,4,2,1,1,0
3314,7351,4,2,0,0,0
3314,18509,5,1,2,0,1
3314,669,13,4,2,11,4
3314,18540,2,1,0,2,0
3314,2137,4,1,0,1,2
3314,8915,6,1,3,4,1
3314,7513,9,2,1,0,1
3314,3286,2,0,2,3,0
3314,2856,2,1,1,3,0
3314,7246,5,4,0,0,1
3314,5212,8,5,1,7,2
3314,14621,4,1,0,1,1
3314,14879,5,1,0,0,1
3314,5819,4,1,0,1,2
3314,777,5,5,0,0,0
3314,3481,3,2,1,2,0
3314,5261,10,5,0,0,0
3314,7332,8,2,2,2,4
3314,7171,5,5,0,0,0
3314,298,5,5,0,5,0
3314,18191,4,3,0,1,0
3314,4818,8,1,3,2,4
3314,5589,7,4,1,3,1
3314,4533,5,1,0,0,4
3314,981,10,6,0,0,4
3314,1204,5,5,0,5,0
3314,14650,5,5,0,0,0
3314,4994,5,3,0,0,0
3314,5591,5,5,0,0,0
3314,6233,5,1,3,0,0
3314,14447,5,5,0,0,0
3314,909,9,3,2,1,4
3314,5158,10,6,1,1,1
3314,15334,0,0,0,5,0
3314,10929,4,2,0,1,2
3314,9855,4,1,0,1,3
3314,4925,12,8,2,3,1
3314,775,7,0,4,4,1
3314,6716,5,2,1,0,1
3314,2227,2,0,1,3,1
3314,13371,4,1,0,0,1
3314,5544,2,0,1,3,0
3314,14675,5,0,3,0,2
3314,8094,15,7,5,5,3
3314,4849,5,1,3,0,0
3314,1907,5,5,0,0,0
3314,505,5,5,0,0,0
3314,18742,5,2,0,0,0
3314,7641,2,0,2,8,0
3314,17306,5,0,0,0,0
3314,4035,5,2,1,0,0
3314,4871,8,0,3,8,5
3314,2129,1,1,0,4,0
3314,15974,9,5,1,1,0
3314,4055,0,0,0,37,0
3314,7241,5,4,0,0,1
3314,16930,0,0,0,5,0
3314,9725,10,9,0,0,0
3314,15038,4,0,1,1,1
3314,5803,6,2,1,0,3
3314,5383,5,3,1,0,0
3314,407,3,2,0,2,1
3314,3529,3,1,1,2,0
3314,434,5,0,0,0,3
3314,11518,0,0,0,5,0
3314,14498,4,2,1,1,1
3314,9305,4,1,0,1,2
3314,6192,5,0,0,0,4
3314,8162,5,5,0,0,0
3314,1316,3,0,0,2,3
3314,5793,3,3,0,4,0
3314,14526,9,1,1,11,7
3314,15304,5,3,1,0,0
3314,9037,4,2,1,1,1
3314,4332,8,2,4,2,1
3314,4218,5,4,0,5,1
3314,19360,0,0,0,5,0
3314,5066,5,1,0,0,0
3314,2139,4,0,0,1,0
3314,2210,7,3,0,3,4
3314,8207,5,1,1,0,1
3314,4790,5,1,2,0,2
3314,2133,3,0,0,2,3
3314,4141,3,2,1,2,0
3314,3984,3,2,0,2,0
3314,1690,5,2,1,0,2
3314,5695,18,5,3,3,6
3314,9851,5,0,2,0,1
3314,5547,5,2,2,0,1
3314,18008,0,0,0,5,0
3314,19270,0,0,0,4,0
3314,8858,9,3,2,1,1
3314,8378,5,2,2,0,1
3314,4340,4,1,2,1,0
3314,5420,4,1,1,1,2
3314,8539,2,1,0,2,1
3314,11659,9,7,1,1,0
3314,4789,0,0,0,5,0
10152,1321,3,1,1,2,0
10152,16398,5,1,0,0,3
10152,17827,3,1,1,2,1
10152,17740,5,4,0,0,1
10152,5398,0,0,0,5,0
10152,16038,5,5,0,0,0
10152,18509,3,1,0,2,0
10152,15233,5,1,0,0,1
10152,16328,5,3,0,0,0
10152,15090,2,1,1,3,0
10152,4996,8,4,0,2,0
10152,9838,5,5,0,0,0
10152,12760,4,0,0,1,0
10152,16788,5,3,0,0,0
10152,17686,5,5,0,0,0
10152,16541,5,5,0,0,0
10152,19076,0,0,0,5,0
10152,5408,4,3,0,1,1
10152,18964,4,1,0,1,2
10152,18364,3,0,0,2,2
10152,12002,5,2,2,0,1
10152,11186,5,0,2,0,1
10152,15334,5,2,0,0,0
10152,10546,5,5,0,0,0
10152,15461,5,1,1,0,0
10152,7590,5,2,1,0,0
10152,14945,5,1,0,0,0
10152,3376,8,3,0,2,4
10152,16133,5,5,0,0,0
10152,10809,4,4,0,1,0
10152,19052,4,1,2,1,0
10152,17387,4,2,0,1,0
10152,15253,5,3,2,0,0
10152,15905,4,1,1,1,2
10152,19302,0,0,0,5,0
10152,6607,5,5,0,0,0
10152,2589,4,1,2,1,0
10152,15056,6,3,0,4,2
10152,11779,4,2,0,1,2
10152,17967,5,3,0,0,2
10152,11650,5,1,0,0,4
10152,10420,5,0,0,0,0
10152,15965,4,0,0,1,1
10152,577,1,0,0,5,1
10152,493,6,5,0,0,1
10152,15170,9,5,0,1,3
10152,14541,5,0,0,0,5
10152,15152,5,4,0,0,1
10152,3550,5,2,1,0,1
10152,18043,5,2,2,0,1
10152,9432,2,1,0,3,0
10152,10105,5,5,0,0,0
10152,17514,4,2,1,1,0
10152,11909,5,2,1,0,0
10152,15446,5,0,1,0,1
10152,10670,4,2,0,1,1
10152,18244,5,3,0,0,2
10152,15558,2,0,0,3,1
10152,17072,5,0,1,0,0
10152,18488,0,0,0,5,0
10152,12490,4,4,0,0,0
10152,18468,5,5,0,0,0
10152,6074,4,1,0,1,2
10152,11160,5,1,2,0,0
10152,13812,5,5,0,0,0
10152,10907,7,4,2,3,0
10152,10271,5,2,3,0,0
10152,10815,4,0,0,1,4
10152,16228,5,5,0,0,0
10152,10323,5,4,0,0,1
10152,16097,3,1,0,2,1
10152,3326,0,0,0,5,0
10152,11279,4,2,1,1,1
10152,17226,4,1,0,1,2
10152,10296,5,3,1,0,0
10152,10906,4,0,4,1,0
10152,16091,4,2,0,1,1
10152,12642,4,1,0,1,1
10152,18575,0,0,0,5,0
10152,17185,5,1,1,0,1
10152,15290,1,0,0,4,1
10152,17833,3,0,1,2,0
10152,10659,4,2,2,1,0
10152,18666,4,2,0,1,1
10152,2468,4,3,1,1,0
10152,15379,5,0,0,0,1
10152,19422,0,0,0,5,0
10152,10605,4,2,1,1,0
10152,12263,4,2,0,1,2
10152,17221,5,0,0,0,4
10152,5554,10,0,0,0,7
10152,4629,4,1,0,1,2
10152,12404,5,4,0,0,1
10152,18334,4,0,0,1,0
10152,18628,0,0,0,5,0
10152,18139,4,1,2,1,1
10152,9291,4,4,0,0,0
10152,17511,5,3,0,0,2
10152,4107,4,0,0,1,0
10152,15227,5,1,0,0,2
10152,17556,3,0,0,2,3
10152,15499,4,0,0,1,4
10152,12448,7,3,2,3,1
10152,11272,5,5,0,0,0
10152,7290,5,3,0,0,2
10152,11910,5,5,0,0,0
10152,11379,3,1,0,2,2
10152,16150,5,4,0,0,1
10152,18232,4,2,0,1,1
10152,1236,2,1,0,3,0
10152,10878,4,1,1,1,1
10152,12140,5,2,2,0,1
10152,10656,4,1,2,1,1
10152,10909,4,0,1,1,3
10152,15421,5,3,0,0,1
10152,12505,5,0,1,0,0
10152,12796,4,2,0,1,2
10152,17741,4,1,2,1,0
10152,16912,3,3,0,2,0
10152,17513,4,4,0,1,0
10152,15684,4,2,2,6,0
10152,11217,4,3,1,1,0
10152,19226,0,0,0,5,0
10152,4380,5,0,0,0,0
10152,17714,5,3,0,0,1
10152,15895,4,0,0,1,2
10152,1853,4,0,3,1,0
10152,16551,4,1,1,1,0
10152,16981,2,2,0,3,0
10152,7728,1,0,0,4,1
10152,15118,5,1,0,0,3
10152,7624,4,1,0,1,3
