u_id,s_id,o_id,return_count,return_count nms,return_count similar,nonreturn_count,return_shape,return_budget
1536,511,536,2,1,0,3,0,1
1467,511,500,4,2,1,1,0,1
787,787,550,4,0,0,2,1,3
1585,511,548,0,0,0,5,0,0
1019,511,563,4,0,2,1,2,0
1562,511,540,0,0,0,5,0,0
787,787,564,4,1,0,2,0,3
1599,337,560,2,1,0,3,0,1
1491,337,519,0,0,0,5,0,0
740,337,568,2,2,0,3,0,0
1626,511,569,0,0,0,5,0,0
673,511,573,4,2,0,1,1,1
1632,511,572,0,0,0,5,0,0
1577,337,544,4,2,0,1,1,1
787,787,574,4,1,1,1,1,1
1543,511,537,5,2,1,0,0,2
787,787,575,0,0,0,5,0,0
1227,43,579,3,0,0,0,2,1
1645,337,576,4,1,2,1,1,0
1553,511,539,0,0,0,5,0,0
1516,511,528,3,3,0,2,0,0
1646,337,577,2,0,2,3,0,0
404,337,587,3,2,0,2,1,0
1664,511,584,5,1,0,0,3,1
1657,337,578,2,1,0,3,1,0
1671,511,585,4,2,1,1,1,0
1486,511,588,1,1,0,4,0,0
577,337,590,4,2,0,1,2,0
1665,760,580,3,1,0,2,2,0
1673,511,586,0,0,0,5,0,0
1636,338,595,5,5,0,0,0,0
1683,760,593,5,5,0,0,0,0
1694,337,594,5,2,1,0,2,0
1691,511,591,4,2,1,1,1,0
555,338,599,3,0,0,1,3,0
1598,511,601,4,0,1,1,0,3
1700,337,600,5,2,2,0,1,0
1721,337,602,5,0,0,0,5,0
758,760,603,0,0,0,5,0,0
1395,337,604,4,3,0,1,1,0
1227,43,605,0,0,0,9,0,0
1368,761,606,3,1,1,2,1,0
1602,337,610,1,0,0,4,1,0
1757,511,615,5,2,1,0,1,1
1456,511,614,2,0,1,1,0,1
1751,337,613,0,0,0,5,0,0
1750,338,612,5,1,1,0,1,2
1730,337,611,0,0,0,5,0,0
1206,338,427,3,0,0,2,2,1
500,787,617,3,0,0,2,1,2
500,787,619,5,2,0,0,1,2
500,787,620,0,0,0,5,0,0
1418,787,621,0,0,0,4,0,0
808,338,616,4,1,0,1,2,1
1069,761,618,2,2,0,3,0,0
1805,511,630,3,2,0,2,0,1
1350,511,629,2,2,0,3,0,0
891,337,631,3,1,0,2,2,0
1559,337,632,1,1,0,3,0,0
1826,511,633,4,2,0,1,1,1
1459,787,635,3,1,1,2,1,0
559,511,634,0,0,0,5,0,0
1841,338,638,0,0,0,5,0,0
1844,760,640,2,0,0,3,2,0
673,511,639,3,0,2,2,1,0
1846,338,641,5,1,0,0,4,0
1856,787,645,5,1,0,0,0,4
1848,1865,642,2,0,0,3,1,1
1884,338,648,5,2,0,0,2,1
1160,338,650,5,1,0,0,4,0
1895,511,651,0,0,0,5,0,0
1908,511,654,0,0,0,5,0,0
1887,511,649,2,0,0,3,2,0
1881,338,647,3,1,0,2,1,1
900,338,656,3,1,1,2,1,0
1893,760,653,4,2,0,1,2,0
1923,338,655,5,2,1,0,2,0
1005,511,657,1,0,0,4,1,0
1953,338,659,5,2,1,0,2,0
1875,511,661,4,1,0,1,3,0
1853,761,643,4,2,0,1,2,0
1974,338,662,5,1,2,0,0,2
1454,760,663,2,1,0,3,1,0
1957,338,660,4,1,0,1,2,1
1828,511,664,3,2,0,2,1,0
1832,338,636,0,0,0,5,0,0
906,511,652,5,1,1,0,2,1
1646,338,666,0,0,0,5,0,0
2032,338,668,0,0,0,5,0,0
1951,511,669,1,0,1,2,0,0
2046,511,671,2,1,0,3,0,1
1458,511,672,1,0,0,4,1,0
2050,338,674,0,0,0,3,0,0
