label,western_classic,western_feminine,western_contemporary,western_boho,indo_western,indian_traditional,indian_classic,indian_contemporary,indian_funky,clothes_work
0,2.41511248164,2.41406754772,2.47559471366,1.81493891336,1.86270190896,1.62509662261,2.08836857562,1.9523174743,1.65503906021,2.6704845815
1,2.69407894737,3.01195175439,3.06074561404,3.01337719298,3.16940789474,2.74890350877,3.12431085526,3.09890350877,2.7099939693,12.0
2,2.23975903614,2.44478915663,2.51020080321,2.02337349398,2.08333333333,1.70508714859,2.12144578313,2.07155943775,1.75076305221,12.0
3,2.43136439858,2.70474588842,2.78177555627,2.41051273783,2.4746855853,2.09706546275,2.50715898097,2.47607223476,2.13550467591,6.0
4,2.58432888264,2.78043745608,2.88308151792,2.72628250176,3.00770520028,2.66051791989,3.03979831342,2.96110892481,2.57401124385,2.73436401968
