uid,label,budget_pant,budget_westerndress,budget_top,budget_skirt,budget_kurta,budget_jacket,budget_scarf,budget_jewellery
11922,0,0,0,0,0,0,0,0,0
5408,1,3,3,3,3,3,3,3,1
13272,0,0,0,0,0,0,0,0,0
17106,0,0,0,0,0,0,0,0,0
5888,3,4,5,3,3,4,4,4,1
13633,0,0,0,0,0,0,0,0,0
15436,0,0,0,0,0,0,0,0,0
6761,0,0,0,0,0,0,0,0,0
3750,3,4,5,4,4,3,5,5,2
3499,0,0,0,0,0,0,0,0,0
18259,1,4,4,3,3,3,3,3,1
1252,1,3,2,2,2,2,3,3,1
1411,0,0,0,0,0,0,0,0,0
7727,1,4,4,3,3,3,3,3,1
17860,0,0,0,0,0,0,0,0,0
18873,1,4,4,3,3,3,3,3,1
5236,1,4,4,3,3,4,4,4,1
480,1,3,3,2,3,1,3,3,1
13117,0,0,0,0,0,0,0,0,0
18924,0,0,0,0,0,0,0,0,0
9929,0,0,0,0,0,0,0,0,0
13114,1,4,4,4,3,3,3,3,1
16661,4,4,4,5,3,3,4,4,1
7927,1,3,3,3,3,3,3,3,1
14569,0,0,0,0,0,0,0,0,0
16121,0,0,0,0,0,0,0,0,0
8155,1,4,4,3,3,3,3,3,1
11000,4,4,4,3,3,3,3,3,1
19233,0,0,0,0,0,0,0,0,0
1811,1,3,4,2,2,2,4,4,1
6552,0,0,0,0,0,0,0,0,0
10677,0,0,0,0,0,0,0,0,0
8143,2,4,4,3,3,3,3,3,1
17273,0,0,0,0,0,0,0,0,0
1251,0,0,0,0,0,0,0,0,0
14317,1,4,4,3,3,3,3,3,1
8118,0,0,0,0,0,0,0,0,0
2069,3,4,5,4,4,4,4,4,2
16316,0,0,0,0,0,0,0,0,0
14981,0,0,0,0,0,0,0,0,0
11939,2,4,4,3,4,3,4,4,1
2815,0,0,0,0,0,0,0,0,0
15413,2,5,4,3,3,3,3,3,1
9106,1,4,4,3,3,3,3,3,1
8829,3,4,4,4,4,4,4,4,2
14185,0,0,0,0,0,0,0,0,0
19016,0,0,0,0,0,0,0,0,0
15690,0,0,0,0,0,0,0,0,0
1529,2,4,5,3,4,2,4,4,1
13525,2,4,4,3,3,3,4,4,1
16806,0,0,0,0,0,0,0,0,0
1560,2,3,3,3,3,3,4,4,2
18359,0,0,0,0,0,0,0,0,0
18305,0,0,0,0,0,0,0,0,0
13483,0,0,0,0,0,0,0,0,0
6754,1,3,3,3,3,3,3,3,1
6525,1,3,3,3,3,3,3,3,1
2652,2,3,3,2,2,3,2,2,2
18500,0,0,0,0,0,0,0,0,0
4967,0,0,0,0,0,0,0,0,0
19774,0,0,0,0,0,0,0,0,0
11162,4,4,5,3,3,3,3,3,1
19532,0,0,0,0,0,0,0,0,0
1359,1,3,2,2,2,2,2,2,1
11447,0,0,0,0,0,0,0,0,0
11678,0,0,0,0,0,0,0,0,0
19549,0,0,0,0,0,0,0,0,0
17480,0,0,0,0,0,0,0,0,0
10347,2,4,4,3,3,3,3,3,1
15807,2,4,4,3,3,4,4,4,1
9415,0,0,0,0,0,0,0,0,0
10427,1,4,4,3,3,3,3,3,1
15025,0,0,0,0,0,0,0,0,0
6130,1,3,3,3,3,3,3,3,1
3800,1,3,2,2,2,2,2,2,1
905,1,3,4,3,3,4,0,0,3
9712,2,3,2,3,3,3,4,4,1
10780,1,4,4,3,3,4,3,3,1
8997,4,0,0,3,3,3,3,3,1
860,0,0,0,0,0,0,0,0,0
5399,2,3,3,3,3,3,3,3,1
8197,4,3,3,3,3,3,3,3,1
3010,0,0,0,0,0,0,0,0,0
12863,4,5,4,4,3,4,4,4,2
8120,0,0,0,0,0,0,0,0,0
3282,2,3,4,3,5,2,5,5,1
2452,2,3,2,2,2,2,2,2,1
9873,0,0,0,0,0,0,0,0,0
3405,2,3,2,2,2,2,2,2,1
13024,3,5,4,4,5,5,5,5,4
13785,1,4,4,3,3,3,3,3,1
14698,4,4,4,3,3,3,4,4,1
1708,3,3,4,3,4,3,5,5,2
16623,3,4,5,3,3,3,4,4,2
1751,1,3,2,2,2,2,3,3,1
15269,2,4,4,3,3,3,3,3,1
5918,0,0,0,0,0,0,0,0,0
18318,0,0,0,0,0,0,0,0,0
1576,3,4,4,4,4,4,5,5,1
9995,3,4,5,4,5,3,4,4,3
15335,1,4,4,3,3,3,4,4,2
6958,0,0,0,0,0,0,0,0,0
19677,0,0,0,0,0,0,0,0,0
7908,0,0,0,0,0,0,0,0,0
13058,0,0,0,0,0,0,0,0,0
2816,1,3,3,2,2,2,3,3,1
14892,0,0,0,0,0,0,0,0,0
5932,0,0,0,0,0,0,0,0,0
17825,0,0,0,0,0,0,0,0,0
9949,1,4,4,3,3,3,3,3,1
10746,1,4,4,4,4,4,3,3,1
7187,2,3,3,3,3,3,3,3,1
172,2,1,3,5,3,2,4,4,4
7035,4,3,4,3,3,3,3,3,1
347,1,3,3,1,3,4,2,2,1
14001,2,4,4,3,3,3,3,3,1
13619,1,4,4,3,3,3,3,3,1
9741,0,0,0,0,0,0,0,0,0
666,4,3,3,2,2,3,2,2,1
5623,1,3,4,3,3,3,4,4,1
11390,2,4,4,3,3,3,3,3,1
9889,1,4,4,3,3,3,3,3,1
19265,0,0,0,0,0,0,0,0,0
2912,2,3,3,2,2,2,2,2,1
3132,2,3,3,3,3,2,3,3,1
13310,2,4,4,3,3,3,3,3,1
5003,3,5,4,4,4,4,5,5,3
14190,3,4,4,3,3,4,4,4,2
17871,2,4,4,3,3,3,3,3,1
6862,2,3,3,3,3,3,3,3,1
8982,0,0,0,0,0,0,0,0,0
10451,2,4,4,3,3,3,3,3,1
11902,2,4,4,3,3,3,3,3,1
12089,4,4,4,3,3,3,3,3,1
2374,1,3,3,3,2,3,2,2,1
5014,1,4,4,3,3,3,4,4,1
16860,3,4,4,4,3,4,5,5,2
18716,2,4,4,3,3,4,3,3,1
6038,0,0,0,0,0,0,0,0,0
19280,0,0,0,0,0,0,0,0,0
2016,0,0,0,0,0,0,0,0,0
8692,0,0,0,0,0,0,0,0,0
1404,0,0,0,0,0,0,0,0,0
2784,1,3,3,3,3,3,3,3,1
18984,0,0,0,0,0,0,0,0,0
3591,3,5,3,5,5,2,5,5,4
859,0,0,0,0,0,0,0,0,0
1620,2,3,2,2,2,2,2,2,1
2215,3,5,5,4,4,2,5,5,1
9754,2,4,4,3,3,4,3,3,2
9340,0,0,0,0,0,0,0,0,0
555,1,4,4,5,2,4,3,3,1
15844,1,4,5,3,3,3,4,4,1
16223,0,0,0,0,0,0,0,0,0
18435,0,0,0,0,0,0,0,0,0
9139,2,4,4,3,3,3,3,3,1
1269,0,0,0,0,0,0,0,0,0
11740,1,4,4,3,3,3,3,3,1
5578,3,4,3,4,4,5,4,4,5
9210,1,4,4,3,3,4,3,3,2
3302,2,5,4,4,4,4,4,4,4
5107,3,5,5,5,5,5,5,5,5
10027,0,0,0,0,0,0,0,0,0
11660,0,0,0,0,0,0,0,0,0
3183,2,3,4,3,4,4,4,4,3
14043,1,4,4,4,3,3,4,4,1
528,1,2,2,2,2,2,1,1,1
17970,0,0,0,0,0,0,0,0,0
11407,1,4,4,3,3,3,3,3,1
5773,0,0,0,0,0,0,0,0,0
1752,2,3,2,2,3,2,2,2,1
17283,2,4,4,3,3,3,3,3,1
12735,1,4,4,3,3,3,3,3,1
8276,1,3,3,3,3,3,3,3,1
12729,1,4,4,4,3,3,4,4,1
19432,0,0,0,0,0,0,0,0,0
1465,1,3,3,2,3,2,3,3,1
17989,0,0,0,0,0,0,0,0,0
18505,2,4,4,3,3,3,3,3,1
550,0,0,0,0,0,0,0,0,0
10073,0,0,0,0,0,0,0,0,0
2627,0,0,0,0,0,0,0,0,0
16915,3,4,4,3,3,5,4,4,1
18426,2,4,4,3,3,3,3,3,1
7142,2,3,4,3,3,3,4,4,1
18268,1,4,4,4,3,3,4,4,1
14706,1,4,4,3,3,3,3,3,1
8841,3,4,5,3,4,4,4,4,1
1928,1,4,3,2,2,2,2,2,1
3050,2,4,3,2,4,2,3,3,1
7607,2,3,3,3,3,3,3,3,1
5662,1,3,3,3,3,3,4,4,1
13591,0,0,0,0,0,0,0,0,0
1142,0,0,0,0,0,0,0,0,0
179,3,2,5,5,5,5,5,5,5
3357,1,4,4,4,4,4,2,2,1
4162,0,0,0,0,0,0,0,0,0
16785,2,4,4,3,3,4,4,4,2
14465,1,4,4,3,3,3,3,3,1
12216,0,0,0,0,0,0,0,0,0
10988,3,5,5,3,4,4,4,4,2
16165,0,0,0,0,0,0,0,0,0
15513,2,5,4,4,3,3,4,4,1
16060,0,0,0,0,0,0,0,0,0
91,3,4,4,4,4,4,4,4,3
13555,3,5,5,5,5,5,5,5,5
4615,1,4,5,3,3,3,4,4,1
7179,3,5,3,4,3,4,5,5,2
3732,2,4,5,3,3,3,5,5,2
12591,1,4,4,3,3,3,3,3,1
19354,3,4,5,4,4,4,4,4,2
1566,0,0,0,0,0,0,0,0,0
1714,2,3,2,2,2,2,2,2,1
7839,4,3,3,3,3,3,4,4,1
16018,0,0,0,0,0,0,0,0,0
13165,0,0,0,0,0,0,0,0,0
11195,0,0,0,0,0,0,0,0,0
3238,0,0,0,0,0,0,0,0,0
11003,0,0,0,0,0,0,0,0,0
1351,0,0,0,0,0,0,0,0,0
2571,4,4,4,3,3,3,4,4,1
7722,1,3,3,3,3,3,3,3,1
16839,1,4,4,3,3,3,5,5,1
7167,1,4,4,3,3,3,4,4,1
16217,0,0,0,0,0,0,0,0,0
18270,1,4,5,3,3,3,3,3,1
2509,3,4,5,4,4,4,5,5,2
15284,1,4,4,3,3,3,3,3,1
12078,3,5,5,4,5,4,5,5,1
8105,4,4,4,3,3,3,4,4,1
15212,0,0,0,0,0,0,0,0,0
1510,2,5,4,3,4,2,4,4,1
10598,2,4,4,3,3,3,3,3,1
13957,2,4,4,3,3,3,3,3,1
15715,0,0,0,0,0,0,0,0,0
7236,0,0,0,0,0,0,0,0,0
19520,2,4,4,3,3,3,3,3,2
5688,2,4,4,3,3,3,3,3,1
8483,1,3,3,3,3,3,3,3,1
15741,2,4,4,3,3,3,3,3,1
18465,0,0,0,0,0,0,0,0,0
6790,1,3,3,3,3,3,3,3,1
12732,1,4,4,3,3,3,3,3,1
19511,2,5,5,4,4,4,4,4,3
1940,3,5,5,5,5,5,5,5,5
5713,2,3,3,3,3,3,3,3,1
9660,3,4,5,3,4,3,5,5,2
1769,0,0,0,0,0,0,0,0,0
4270,2,3,3,3,3,3,3,3,1
4459,2,3,3,3,3,3,3,3,1
15448,1,4,4,3,3,3,3,3,1
1199,2,3,2,2,2,2,2,2,1
16829,2,4,4,3,3,3,3,3,1
4899,1,3,3,3,3,3,4,4,1
14337,2,4,4,3,3,3,3,3,1
19401,0,0,0,0,0,0,0,0,0
18782,1,4,4,3,3,3,4,4,1
17734,0,0,0,0,0,0,0,0,0
2534,1,3,3,2,3,2,3,3,1
1417,0,0,0,0,0,0,0,0,0
19096,1,4,4,3,3,3,4,4,1
9959,0,0,0,0,0,0,0,0,0
9200,1,4,4,3,3,3,3,3,1
16868,2,4,4,3,4,4,4,4,1
19021,3,5,5,5,5,5,5,5,5
16812,0,0,0,0,0,0,0,0,0
2065,1,3,5,2,3,2,2,2,1
1187,0,0,0,0,0,0,0,0,0
2648,1,5,3,2,2,2,2,2,1
19026,0,0,0,0,0,0,0,0,0
5233,0,0,4,0,3,0,0,0,1
17361,3,5,5,3,4,3,4,4,1
6328,0,0,0,0,0,0,0,0,0
13839,0,0,0,0,0,0,0,0,0
18445,3,4,4,3,3,4,5,5,4
1624,1,3,3,2,2,2,3,3,1
1863,0,0,0,0,0,0,0,0,0
13482,0,0,0,0,0,0,0,0,0
7814,1,3,3,3,3,3,5,5,1
17881,0,0,0,0,0,0,0,0,0
11730,0,0,0,0,0,0,0,0,0
10849,0,0,0,0,0,0,0,0,0
10742,0,0,0,0,0,0,0,0,0
7866,1,3,3,3,3,3,3,3,1
15900,0,0,0,0,0,0,0,0,0
7074,2,5,5,3,3,3,4,4,1
13832,0,0,0,0,0,0,0,0,0
9570,0,0,0,0,0,0,0,0,0
1585,4,3,2,2,2,2,2,2,1
19821,0,0,0,0,0,0,0,0,0
18691,3,5,4,4,4,3,5,5,2
18693,1,4,4,3,3,3,3,3,1
16564,3,5,5,3,4,5,5,5,3
13452,2,5,5,5,5,5,5,5,4
11483,1,4,4,3,3,3,3,3,1
15422,2,4,4,3,3,4,3,3,1
18290,1,4,4,3,4,3,4,4,1
14668,0,0,0,0,0,0,0,0,0
13953,1,4,4,3,3,3,3,3,1
16007,0,0,0,0,0,0,0,0,0
14334,2,4,4,3,3,3,3,3,1
943,0,0,0,0,0,0,0,0,0
7837,0,0,0,0,0,0,0,0,0
16717,2,4,4,3,3,3,3,3,1
3799,1,4,4,4,3,4,3,3,1
3380,0,0,0,0,0,0,0,0,0
8811,1,3,3,3,3,3,5,5,1
18085,0,0,0,0,0,0,0,0,0
17706,0,0,0,0,0,0,0,0,0
11400,0,0,0,0,0,0,0,0,0
12733,3,5,5,5,5,3,5,5,1
13014,0,0,0,0,0,0,0,0,0
6738,1,3,3,3,3,3,3,3,1
18784,2,4,4,3,3,3,3,3,1
8904,0,0,0,0,0,0,0,0,0
8190,1,3,3,3,3,3,3,3,1
14450,0,0,0,0,0,0,0,0,0
9999,3,4,4,3,4,3,5,5,1
1028,3,4,4,4,4,4,4,4,4
16095,1,4,4,3,3,3,3,3,1
7962,1,3,3,2,2,2,3,3,1
1915,1,4,4,3,3,3,3,3,1
885,0,0,0,0,0,0,0,0,0
14102,0,0,0,0,0,0,0,0,0
15484,3,5,5,5,4,4,5,5,1
1397,1,3,3,3,2,2,3,3,1
16849,0,0,0,0,0,0,0,0,0
14172,0,0,0,0,0,0,0,0,0
11084,1,4,5,4,4,0,0,0,4
9117,2,4,4,4,3,4,5,5,3
2471,1,3,3,3,3,3,3,3,1
14695,0,0,0,0,0,0,0,0,0
16311,2,4,4,3,3,3,3,3,1
18945,0,0,0,0,0,0,0,0,0
7730,0,0,0,0,0,0,0,0,0
3070,0,0,0,0,0,0,0,0,0
16887,0,0,0,0,0,0,0,0,0
5330,3,4,5,4,4,4,5,5,3
15521,0,0,0,0,0,0,0,0,0
10846,1,4,4,3,3,3,3,3,1
2503,3,5,5,3,4,2,5,5,1
1923,2,3,5,5,5,5,2,2,1
6758,4,4,3,3,3,3,3,3,1
11179,0,0,0,0,0,0,0,0,0
12025,2,4,4,3,3,3,3,3,1
7034,2,3,3,3,3,3,3,3,1
17180,0,0,0,0,0,0,0,0,0
18236,3,4,4,4,5,4,4,4,4
11397,0,0,0,0,0,0,0,0,0
19211,1,4,4,3,3,3,3,3,1
7503,2,4,3,3,3,4,3,3,2
16538,2,4,4,3,3,3,3,3,1
3471,0,0,0,0,0,0,0,0,0
13501,4,4,4,3,3,3,5,5,1
6023,1,3,3,3,3,3,4,4,2
8550,0,0,0,0,0,0,0,0,0
420,0,0,0,0,0,0,0,0,0
6927,4,3,3,3,3,3,3,3,1
10683,0,0,0,0,0,0,0,0,0
3848,0,0,0,0,0,0,0,0,0
3287,2,4,4,3,4,2,4,4,1
8046,0,0,0,0,0,0,0,0,0
19801,1,4,4,3,3,4,3,3,1
15610,1,4,4,3,3,3,3,3,1
18699,3,5,5,4,5,0,5,5,2
6399,1,3,3,3,3,3,3,3,1
3220,0,0,0,0,0,0,0,0,0
6031,0,0,0,0,0,0,0,0,0
13130,1,4,4,3,3,3,3,3,1
18737,2,4,4,3,3,3,4,4,1
4245,0,0,0,0,0,0,0,0,0
8162,2,5,5,5,5,4,4,4,2
15298,0,0,0,0,0,0,0,0,0
9804,1,5,4,3,3,3,3,3,1
913,0,0,0,0,0,0,0,0,0
3582,2,3,2,2,2,2,2,2,1
19288,0,0,0,0,0,0,0,0,0
6876,3,4,5,3,5,3,4,4,3
11357,1,4,4,3,3,3,3,3,1
19769,0,0,0,0,0,0,0,0,0
17522,1,4,4,3,3,3,3,3,1
4233,2,3,3,2,2,3,3,3,1
16110,0,0,0,0,0,0,0,0,0
3394,0,0,0,0,0,0,0,0,0
10695,1,4,4,3,3,3,3,3,1
7475,0,0,0,0,0,0,0,0,0
14436,0,0,0,0,0,0,0,0,0
12910,1,4,4,3,3,3,3,3,1
7199,0,0,0,0,0,0,0,0,0
11125,1,4,4,3,3,3,3,3,1
19582,3,4,4,3,3,5,5,5,1
1310,2,4,4,3,3,3,4,4,2
9892,0,0,0,0,0,0,0,0,0
16903,1,4,4,3,3,3,3,3,1
12462,0,0,0,0,0,0,0,0,0
5759,1,4,3,4,3,3,4,4,1
11147,0,0,0,0,0,0,0,0,0
3125,0,0,0,0,0,0,0,0,0
16025,2,4,4,3,3,3,3,3,1
13133,3,5,4,3,4,4,4,4,3
16411,3,4,5,4,3,4,4,4,1
4834,2,3,3,3,3,3,3,3,1
1400,2,3,2,2,2,2,2,2,1
1767,1,3,2,2,2,2,2,2,1
15583,0,0,0,0,0,0,0,0,0
3019,4,3,2,2,2,2,3,3,2
17196,0,0,0,0,0,0,0,0,0
3589,1,3,3,2,2,2,2,2,1
8177,0,0,0,0,0,0,0,0,0
13459,0,0,0,0,0,0,0,0,0
15379,2,4,4,3,3,3,3,3,1
10153,0,0,0,0,0,0,0,0,0
19087,1,4,4,3,4,3,3,3,1
16583,0,0,0,0,0,0,0,0,0
16874,2,4,4,3,3,3,3,3,1
16116,0,0,0,0,0,0,0,0,0
13273,0,0,0,0,0,0,0,0,0
19660,1,4,4,3,3,3,3,3,1
10415,0,0,0,0,0,0,0,0,0
15839,0,0,0,0,0,0,0,0,0
448,0,0,0,0,0,0,0,0,0
7880,3,4,4,3,3,5,4,4,1
2014,1,3,3,2,2,3,2,2,1
13190,2,4,4,3,3,3,5,5,2
6635,2,3,3,3,3,3,3,3,1
10312,0,0,0,0,0,0,0,0,0
15609,0,0,0,0,0,0,0,0,0
8969,0,0,0,0,0,0,0,0,0
14672,2,4,4,3,3,3,3,3,1
5820,2,3,3,3,3,3,4,4,1
3899,2,3,2,2,2,2,2,2,1
12046,3,4,4,4,4,3,5,5,2
5447,0,0,0,0,0,0,0,0,0
10655,2,4,4,3,3,3,3,3,1
17534,0,0,0,0,0,0,0,0,0
19422,1,4,4,3,3,3,3,3,1
19371,0,0,0,0,0,0,0,0,0
15463,0,0,0,0,0,0,0,0,0
6127,1,3,3,4,3,4,3,3,1
17485,0,0,0,0,0,0,0,0,0
4571,2,3,3,3,3,3,3,3,1
11869,0,0,0,0,0,0,0,0,0
13977,2,4,4,3,3,3,4,4,1
15692,0,0,0,0,0,0,0,0,0
11718,0,0,0,0,0,0,0,0,0
5038,0,0,0,0,0,0,0,0,0
2473,2,3,2,2,2,3,2,2,1
10307,0,0,0,0,0,0,0,0,0
1489,0,0,0,0,0,0,0,0,0
3285,3,4,4,4,4,4,4,4,3
18592,3,4,5,4,4,4,5,5,3
3557,1,3,3,2,2,2,4,4,1
17047,2,4,4,3,3,3,3,3,1
6057,1,3,3,3,3,3,3,3,1
2349,0,0,0,0,0,0,0,0,0
18146,0,0,0,0,0,0,0,0,0
14764,0,0,0,0,0,0,0,0,0
1588,2,3,3,2,2,2,2,2,1
374,2,3,2,2,2,2,3,3,1
4608,1,3,3,3,3,3,3,3,1
2059,4,3,2,2,2,2,2,2,1
13709,1,4,4,3,3,5,3,3,1
12160,4,4,4,4,3,4,4,4,1
10181,0,0,0,0,0,0,0,0,0
11144,4,4,4,3,3,3,3,3,1
10423,0,0,0,0,0,0,0,0,0
4037,0,0,0,0,0,0,0,0,0
12348,2,4,4,3,3,3,3,3,1
19589,0,0,0,0,0,0,0,0,0
19604,1,4,4,3,3,3,3,3,1
12376,1,4,4,3,3,3,3,3,1
19335,0,0,0,0,0,0,0,0,0
8106,1,3,3,3,3,3,3,3,1
13444,0,0,0,0,0,0,0,0,0
6117,3,3,3,3,3,5,5,5,1
9392,0,0,0,0,0,0,0,0,0
5765,2,4,3,3,3,3,4,4,1
16781,1,4,4,3,3,3,3,3,1
4775,0,0,0,0,0,0,0,0,0
3222,1,4,4,3,3,3,3,3,2
7231,0,0,0,0,0,0,0,0,0
12491,1,3,2,3,3,3,2,2,1
8838,2,3,5,3,4,3,3,3,1
13735,2,4,4,3,3,3,3,3,1
15714,0,0,0,0,0,0,0,0,0
6623,1,3,4,3,3,4,3,3,1
8069,1,4,4,3,3,3,3,3,1
1074,0,0,0,0,0,0,0,0,0
17044,0,0,0,0,0,0,0,0,0
4975,2,4,4,4,3,3,4,4,1
25,2,3,4,2,2,2,0,0,2
15348,0,0,0,0,0,0,0,0,0
3520,0,0,0,0,0,0,0,0,0
8591,1,3,3,3,3,3,4,4,1
4464,1,4,3,3,3,3,4,4,1
15234,0,0,0,0,0,0,0,0,0
13766,0,0,0,0,0,0,0,0,0
17287,0,0,0,0,0,0,0,0,0
4181,2,4,4,3,4,4,4,4,4
19278,0,0,0,0,0,0,0,0,0
13260,0,0,0,0,0,0,0,0,0
3417,1,3,2,2,2,2,2,2,1
4127,0,0,0,0,0,0,0,0,0
12703,3,4,4,4,4,4,5,5,1
18817,0,0,0,0,0,0,0,0,0
2464,2,3,2,2,2,2,3,3,1
16203,0,0,0,0,0,0,0,0,0
16244,2,4,4,3,3,3,3,3,1
6955,1,3,3,3,3,3,3,3,1
9805,4,5,5,5,3,5,4,4,2
770,0,0,0,0,0,0,0,0,0
18012,0,0,0,0,0,0,0,0,0
9737,0,0,0,0,0,0,0,0,0
8194,1,4,4,3,3,3,3,3,1
9064,0,0,0,0,0,0,0,0,0
4329,0,0,0,0,0,0,0,0,0
4436,4,5,5,4,4,3,4,4,2
7884,1,3,3,3,3,3,3,3,1
3624,2,5,5,5,5,2,5,5,3
3375,3,3,3,4,4,5,5,5,5
8212,3,4,4,4,4,4,4,4,2
1745,1,4,4,3,3,3,4,4,1
5996,0,0,0,0,0,0,0,0,0
10920,3,4,4,4,4,4,4,4,1
12213,1,4,4,3,4,3,4,4,1
8116,4,3,4,3,3,3,4,4,4
17787,3,5,5,4,5,4,5,5,3
748,3,4,5,4,3,4,5,5,2
3409,2,3,2,2,2,2,2,2,2
18283,0,0,0,0,0,0,0,0,0
7464,2,3,3,3,3,3,3,3,1
3837,2,3,2,2,2,3,3,3,1
4786,0,0,0,0,0,0,0,0,0
19695,4,4,4,3,3,3,5,5,1
6703,2,3,3,3,3,3,4,4,1
649,0,0,0,0,0,0,0,0,0
5556,1,3,3,3,3,3,3,3,1
12967,2,4,4,3,3,3,4,4,1
14338,3,4,4,4,4,3,3,3,2
16879,0,0,0,0,0,0,0,0,0
2039,1,3,2,2,2,2,2,2,1
3468,3,5,5,4,4,3,5,5,2
10109,0,0,0,0,0,0,0,0,0
14912,1,4,4,3,3,3,3,3,1
10630,1,4,4,3,3,4,4,4,1
19366,3,5,5,4,5,3,5,5,3
16630,0,0,0,0,0,0,0,0,0
15355,1,4,4,3,3,3,3,3,2
8323,4,3,3,3,3,3,4,4,1
4351,1,3,4,4,3,3,4,4,1
1076,0,0,0,0,0,0,0,0,0
9094,2,4,4,4,4,4,4,4,4
16831,0,0,0,0,0,0,0,0,0
16407,0,0,0,0,0,0,0,0,0
6848,0,0,0,0,0,0,0,0,0
1983,1,3,2,3,3,4,3,3,1
10393,0,0,0,0,0,0,0,0,0
11643,2,4,4,3,3,4,4,4,1
5561,2,3,3,3,3,3,3,3,1
3551,0,0,0,0,0,0,0,0,0
16023,3,4,5,4,3,5,4,4,3
10651,0,0,0,0,0,0,0,0,0
9103,1,4,4,3,3,3,3,3,1
8786,0,0,0,0,0,0,0,0,0
2857,0,0,0,0,0,0,0,0,0
16629,3,5,5,4,5,4,5,5,2
12989,0,0,0,0,0,0,0,0,0
15329,2,4,4,3,3,3,3,3,1
13804,0,0,0,0,0,0,0,0,0
7530,0,0,0,0,0,0,0,0,0
15686,0,0,0,0,0,0,0,0,0
17741,2,4,4,3,3,3,3,3,1
13319,0,0,0,0,0,0,0,0,0
294,0,0,0,0,0,0,0,0,0
492,0,0,0,0,0,0,0,0,0
18725,0,0,0,0,0,0,0,0,0
9836,0,0,0,0,0,0,0,0,0
10227,0,0,0,0,0,0,0,0,0
16684,4,4,4,3,3,3,3,3,1
12971,0,0,0,0,0,0,0,0,0
15903,3,4,5,3,4,5,5,5,1
9286,1,3,4,3,3,3,2,2,1
7714,0,0,0,0,0,0,0,0,0
10296,2,3,2,3,3,3,2,2,1
17088,3,4,4,4,3,5,5,5,3
8662,1,4,3,3,3,3,4,4,1
9454,0,0,0,0,0,0,0,0,0
10632,1,4,4,3,3,3,3,3,1
17463,3,4,4,4,4,3,4,4,1
15942,0,0,0,0,0,0,0,0,0
16371,0,0,0,0,0,0,0,0,0
13806,1,4,4,3,3,3,3,3,1
16687,0,0,0,0,0,0,0,0,0
9128,0,0,0,0,0,0,0,0,0
11691,2,4,4,3,3,3,3,3,1
1697,2,4,4,3,3,5,4,4,3
2220,1,3,3,2,2,3,3,3,1
17092,2,4,4,3,3,3,3,3,1
9542,1,4,4,3,3,3,3,3,1
17663,2,4,4,3,3,3,3,3,1
439,1,3,4,3,3,3,4,4,1
455,0,0,0,0,0,0,0,0,0
7841,0,0,0,0,0,0,0,0,0
9176,0,0,0,0,0,0,0,0,0
10263,0,0,0,0,0,0,0,0,0
2673,0,0,0,0,0,0,0,0,0
2861,0,0,0,0,0,0,0,0,0
16004,0,0,0,0,0,0,0,0,0
6111,0,0,0,0,0,0,0,0,0
15633,0,0,0,0,0,0,0,0,0
13136,0,0,0,0,0,0,0,0,0
6268,0,0,0,0,0,0,0,0,0
845,3,4,4,3,3,3,5,5,2
15587,0,0,0,0,0,0,0,0,0
19156,3,4,4,3,3,4,4,4,2
16272,3,4,5,4,5,3,3,3,2
15389,0,0,0,0,0,0,0,0,0
14574,1,4,4,3,3,3,3,3,1
1787,0,0,0,0,0,0,0,0,0
12725,0,0,0,0,0,0,0,0,0
16670,0,0,0,0,0,0,0,0,0
427,2,2,2,1,1,1,3,3,1
14227,2,4,4,3,3,3,3,3,1
14759,0,0,0,0,0,0,0,0,0
19387,4,4,4,3,3,3,3,3,1
14553,0,0,0,0,0,0,0,0,0
10558,1,4,4,3,3,3,4,4,1
2608,4,3,2,2,2,2,3,3,1
5337,0,0,0,0,0,0,0,0,0
9556,2,4,4,3,3,3,3,3,2
10100,0,0,0,0,0,0,0,0,0
7435,0,0,0,0,0,0,0,0,0
5341,2,3,3,3,3,3,3,3,1
8477,4,3,3,3,3,3,4,4,2
14805,2,4,4,3,3,3,3,3,1
10098,2,4,4,3,3,3,4,4,2
11452,0,0,0,0,0,0,0,0,0
19110,0,0,0,0,0,0,0,0,0
378,0,0,0,0,0,0,0,0,0
12797,0,0,0,0,0,0,0,0,0
1891,1,3,3,2,2,2,3,3,1
3872,0,0,0,0,0,0,0,0,0
14265,2,4,4,3,3,3,3,3,1
12253,3,4,5,4,3,3,5,5,1
19101,2,5,5,4,5,5,5,5,2
576,1,4,4,3,3,3,4,4,2
7227,0,0,0,0,0,0,0,0,0
8030,0,0,0,0,0,0,0,0,0
16105,0,0,0,0,0,0,0,0,0
14952,1,4,5,4,4,3,3,3,1
15105,0,0,0,0,0,0,0,0,0
17284,0,0,0,0,0,0,0,0,0
587,0,0,0,0,0,0,0,0,0
4652,1,4,3,3,3,3,4,4,1
2304,0,0,0,0,0,0,0,0,0
2797,2,3,3,2,2,3,2,2,1
12640,0,0,0,0,0,0,0,0,0
14623,0,0,0,0,0,0,0,0,0
11421,2,4,4,3,3,3,3,3,1
8575,1,4,3,3,3,4,5,5,1
5219,0,0,0,0,0,0,0,0,0
18148,3,5,5,3,4,5,5,5,5
9460,0,0,0,0,0,0,0,0,0
6939,0,0,0,0,0,0,0,0,0
11395,0,0,0,0,0,0,0,0,0
