uid,label,budget_pant,budget_westerndress,budget_top,budget_skirt,budget_kurta,budget_jacket,budget_scarf,budget_jewellery
15229,3,4,4,3,4,3,5,5,1
3585,0,0,0,0,0,0,0,0,0
4932,3,4,5,4,3,3,4,4,2
16971,0,0,0,0,0,0,0,0,0
8495,1,3,3,3,3,3,3,3,1
11367,1,4,4,3,3,3,3,3,1
5817,1,3,3,3,3,3,3,3,3
14655,0,0,0,0,0,0,0,0,0
15855,2,4,4,4,4,4,4,4,2
15796,0,0,0,0,0,0,0,0,0
9391,1,5,4,3,3,4,3,3,1
6314,0,0,0,0,0,0,0,0,0
482,4,2,2,2,1,2,2,2,2
4982,0,0,0,0,0,0,0,0,0
11700,0,0,0,0,0,0,0,0,0
15793,4,4,4,3,3,3,3,3,1
6004,1,3,3,3,3,3,3,3,1
18793,0,0,0,0,0,0,0,0,0
6086,1,3,4,3,4,3,3,3,1
10563,1,4,4,3,3,3,3,3,1
4922,2,3,3,3,3,3,3,3,1
4685,0,0,0,0,0,0,0,0,0
2508,0,0,0,0,0,0,0,0,0
384,0,0,0,0,0,0,0,0,0
15045,2,4,4,3,3,3,3,3,1
15926,3,4,4,4,3,3,5,5,2
5983,1,3,3,3,3,3,3,3,1
14332,0,0,0,0,0,0,0,0,0
17595,0,0,0,0,0,0,0,0,0
1050,2,3,3,2,2,2,3,3,1
11720,2,4,4,3,3,3,3,3,1
19075,2,4,4,3,3,3,4,4,4
2481,0,0,0,0,0,0,0,0,0
1506,2,5,5,4,4,3,5,5,2
14840,1,4,4,3,3,3,3,3,1
1020,0,0,0,0,0,0,0,0,0
1862,2,3,3,2,2,2,4,4,1
17793,0,0,0,0,0,0,0,0,0
5386,4,3,3,3,3,3,3,3,1
12386,2,4,4,3,3,3,3,3,1
17207,0,0,0,0,0,0,0,0,0
2236,1,3,3,3,0,0,3,3,1
14016,2,4,5,3,3,5,4,4,1
129,2,4,4,3,2,3,2,2,1
18436,0,0,0,0,0,0,0,0,0
247,1,0,3,3,3,2,3,3,1
10342,3,5,4,4,4,4,4,4,2
6742,1,3,3,3,3,3,3,3,1
9766,2,4,4,3,3,3,4,4,2
2711,0,0,0,0,0,0,0,0,0
5234,0,0,0,0,0,0,0,0,0
14145,0,0,0,0,0,0,0,0,0
17649,0,0,0,0,0,0,0,0,0
2214,2,3,4,2,2,3,3,3,1
13807,0,0,0,0,0,0,0,0,0
17029,3,4,4,4,4,3,4,4,1
1279,0,0,0,0,0,0,0,0,0
7196,1,3,3,3,3,3,3,3,1
12263,4,4,4,3,4,3,4,4,1
1528,0,0,0,0,0,0,0,0,0
1113,0,0,0,0,0,0,0,0,0
2678,1,4,4,3,3,3,4,4,1
4878,1,3,3,3,3,3,3,3,1
6555,0,0,0,0,0,0,0,0,0
2737,2,4,4,2,2,3,3,3,1
15922,2,4,4,4,4,4,4,4,3
19343,0,0,0,0,0,0,0,0,0
19238,0,0,0,0,0,0,0,0,0
19454,1,4,4,3,3,3,3,3,2
9355,1,4,5,3,3,3,3,3,1
19553,0,0,0,0,0,0,0,0,0
12655,0,0,0,0,0,0,0,0,0
150,2,1,1,4,4,4,4,4,4
18045,0,0,0,0,0,0,0,0,0
16300,2,4,4,3,3,3,3,3,1
10221,1,3,4,3,3,3,3,3,1
11741,1,5,4,3,3,3,4,4,1
3626,1,3,2,2,2,2,2,2,1
3679,2,3,2,2,2,2,2,2,1
14339,0,0,0,0,0,0,0,0,0
19115,1,4,4,4,3,3,4,4,1
18862,1,4,4,3,3,3,3,3,2
627,1,4,4,3,3,3,4,4,1
15086,1,5,4,3,3,3,4,4,1
11608,2,4,4,3,3,3,3,3,1
10458,2,4,4,3,3,3,3,3,5
1209,0,0,0,0,0,0,0,0,0
10627,3,4,4,3,4,4,4,4,2
7542,1,3,3,3,3,3,3,3,1
8840,0,0,0,0,0,0,0,0,0
11174,4,4,4,3,3,3,3,3,1
3888,2,3,3,3,3,3,3,3,1
19257,0,0,0,0,0,0,0,0,0
4386,0,0,0,0,0,0,0,0,0
17790,0,0,0,0,0,0,0,0,0
4516,2,4,4,4,3,4,3,3,1
9356,0,0,0,0,0,0,0,0,0
2736,0,0,0,0,0,0,0,0,0
12295,2,4,4,3,3,3,3,3,1
13312,2,4,4,3,3,3,3,3,1
4939,1,3,3,2,3,2,3,3,1
2617,0,0,0,0,0,0,0,0,0
18377,1,4,4,3,3,3,4,4,1
12458,0,0,0,0,0,0,0,0,0
10894,0,0,0,0,0,0,0,0,0
13504,1,4,5,4,5,3,0,0,2
15357,0,0,0,0,0,0,0,0,0
3991,0,0,0,0,0,0,0,0,0
19489,3,5,5,5,5,4,5,5,4
8883,3,4,5,3,4,3,5,5,2
10305,1,4,4,3,3,3,4,4,1
6755,1,4,4,3,3,3,3,3,1
12520,0,0,0,0,0,0,0,0,0
8548,1,3,3,3,3,3,3,3,1
4962,0,0,0,0,0,0,0,0,0
17467,0,0,0,0,0,0,0,0,0
10021,0,0,0,0,0,0,0,0,0
1442,1,3,3,3,2,2,3,3,1
8200,0,0,0,0,0,0,0,0,0
4740,1,3,3,2,2,2,4,4,1
17026,0,0,0,0,0,0,0,0,0
11096,1,4,4,3,3,3,5,5,1
10965,0,0,0,0,0,0,0,0,0
6844,0,0,0,0,0,0,0,0,0
5166,0,0,0,0,0,0,0,0,0
9229,1,3,4,3,4,3,0,0,1
19595,0,0,0,0,0,0,0,0,0
1921,2,4,4,3,3,2,3,3,1
4160,0,0,0,0,0,0,0,0,0
14555,2,4,4,3,3,3,3,3,1
4330,1,3,3,2,2,2,2,2,1
17827,1,4,4,3,3,3,3,3,1
18118,0,0,0,0,0,0,0,0,0
2466,1,3,4,3,3,3,4,4,2
6098,1,3,3,3,3,3,3,3,1
17524,2,4,4,3,4,3,4,4,1
1458,1,3,3,3,3,3,3,3,1
11761,2,4,4,3,3,3,3,3,1
12727,2,4,4,4,4,4,5,5,1
11953,4,4,4,3,3,3,3,3,1
14895,1,4,4,3,3,3,0,0,2
2875,0,0,0,0,0,0,0,0,0
6615,2,3,3,3,3,3,3,3,1
13394,3,5,5,4,4,4,5,5,2
3984,2,3,2,2,2,2,2,2,1
6288,2,3,3,2,3,3,3,3,1
10088,0,0,0,0,0,0,0,0,0
8760,0,0,0,0,0,0,0,0,0
12303,2,4,4,3,3,3,3,3,1
8568,0,0,0,0,0,0,0,0,0
3166,2,3,2,2,2,2,2,2,1
18825,1,4,5,3,3,3,4,4,1
17846,2,4,4,3,3,4,4,4,1
13971,2,4,4,3,4,3,4,4,1
15837,1,4,4,3,3,3,3,3,1
17891,0,0,0,0,0,0,0,0,0
11616,2,4,4,3,3,3,3,3,1
2248,1,4,4,3,3,3,4,4,2
10032,2,4,4,3,3,3,4,4,1
795,0,0,0,0,0,0,0,0,0
13508,0,0,0,0,0,0,0,0,0
11555,1,4,4,3,3,3,4,4,1
