178,548,L,311412,http://stylenook.in/ecomuser/wp-content/uploads/2016/08/Roshini.pages,,R2S2C2,,06/12/2016,21/12/2016,0000-00-00,,,1,0,0,,,,,,,0,,
179,547,L,0,,,,,06/12/2016,21/12/2016,0000-00-00,,,1,0,0,,,,,,,0,,
181,566,X,367160,http://localhost/ecomadmin/uploads/order-stylenote.docx,,001,,08/12/2016,23/12/2016,0000-00-00,,,1,0,0,,,,,,,0,,
182,202,L,369294,http://stylenook.in/ecomuser/wp-content/uploads/2016/08/Payel-Mitra.pages,http://stylenook.in/ecomillustrator/public/uploads/order-182stylecard.pdf,,,08/12/2016,23/12/2016,0000-00-00,,,1,0,0,,,,,,,0,,
183,553,L,362293,http://stylenook.in/ecomuser/wp-content/uploads/2016/08/UshaG-1.docx,http://stylenook.in/ecomillustrator/public/uploads/order-183stylecard.pdf,R2S2C3,,09/12/2016,24/12/2016,0000-00-00,,,1,0,0,,,,,,,0,,
184,404,L,362291,http://stylenook.in/ecomuser/wp-content/uploads/2017/08/User184-Aarathy.docx,,R2S2C4,,12/12/2016,27/12/2016,0000-00-00,,,1,0,0,,,,,,,0,,
185,576,L,425062,http://stylenook.in/ecomuser/wp-content/uploads/2016/08/,http://stylenook.in/ecomillustrator/public/uploads/order-185stylecard.jpg,,"Top 5:
1. Saiesta White and Yellow Shift Dress 
2. Green Blouse with Black Embroidery, 3. Timeless Peach Overlap Top (on hand)
4. Mast & Harbour Teal Blue Collarless Double-Breasted Blazer
5. Vedanta Beige Cotton Matka Kurti with Coconut Buttons                                                                                                                                                                                                                                               Back ups: 1. Saiesta Chequered White Tie Dye Shift Dress, 2.  Blue Blouse with pleat details, 3. Mast & Harbour Red Collarless Double-Breasted Blazer, 4. Vedanta Beige Katan Silk Kurta",18/01/2017,08/02/2017,0000-00-00,,,1,0,0,,,,,,,0,,
186,575,X,0,,,,,12/12/2016,27/12/2016,0000-00-00,,,1,0,0,,,,,,,0,,
187,578,L,369293,http://stylenook.in/ecomuser/wp-content/uploads/2016/08/User187-Ashni.docx,,,,14/12/2016,29/12/2016,0000-00-00,,,1,0,0,,,,,,,0,,
188,583,L,369295,http://stylenook.in/ecomuser/wp-content/uploads/2016/08/User188-Monali.docx,http://stylenook.in/ecomillustrator/public/uploads/order-188stylecard.jpg,,,14/12/2016,29/12/2016,0000-00-00,,,1,0,0,,,,,,,0,,
189,588,L,369296,http://stylenook.in/ecomuser/wp-content/uploads/2017/08/Pallavi.docx,http://stylenook.in/ecomillustrator/public/uploads/order-189stylecard.jpg,,,14/12/2016,29/12/2016,0000-00-00,,,1,0,0,,,,,,,0,,
191,602,L,376506,http://stylenook.in/ecomuser/wp-content/uploads/2017/08/Nikita.docx,http://stylenook.in/ecomillustrator/public/uploads/order-191stylecard.jpg,,All the products in the cart are only for the fulfilment of 7 products EXCEPT the neckpiece. Nikita\'s two products are on-hand and two are off catalogue. Please check with me before ordering in case of any doubt.,19/12/2016,03/01/2017,0000-00-00,,,1,0,0,,,,,,,0,,
192,604,L,376501,http://stylenook.in/ecomuser/wp-content/uploads/2017/08/Ishita.docx,http://stylenook.in/ecomillustrator/public/uploads/order-192stylecard.pdf,,,19/12/2016,03/01/2017,0000-00-00,,,1,0,0,,,,,,,0,,
193,606,L,376524,http://stylenook.in/ecomuser/wp-content/uploads/2017/08/User193-Shivangi.docx,http://stylenook.in/ecomillustrator/public/uploads/order-193stylecard.pdf,,,20/12/2016,04/01/2017,0000-00-00,,,1,0,0,,,,,,,0,,
194,607,L,376499,http://stylenook.in/ecomuser/wp-content/uploads/2017/08/User194-Neetu.docx,http://stylenook.in/ecomillustrator/public/uploads/order-194stylecard.pdf,,In case the Myra mustard shirt is a problem the back up for it is here: http://www.amazon.in/Mayra-Womens-Rayon-Shirt-1608T09549-M/dp/B01K7OZ918/ref=sr_1_13?s=apparel&rps=1&ie=UTF8&qid=1482825054&sr=1-13 Size XL (Back Up),20/12/2016,04/01/2017,0000-00-00,,,1,0,0,,,,,,,0,,
195,609,L,376502,http://stylenook.in/ecomuser/wp-content/uploads/2016/08/Test-stylenote-5-1.docx,http://stylenook.in/ecomillustrator/public/uploads/order-195stylecard.jpg,test rack no1,test comment. external product is backup product,21/12/2016,05/01/2017,0000-00-00,,,1,0,0,,,,,,,0,,
196,605,L,376500,http://stylenook.in/ecomuser/wp-content/uploads/2017/08/User196-Bharati-1.docx,http://stylenook.in/ecomillustrator/public/uploads/order-196stylecard.jpg,,,21/12/2016,05/01/2017,0000-00-00,,,1,0,0,,,,,,,0,,
197,612,X,0,,,,,22/12/2016,06/01/2017,0000-00-00,,,1,0,0,,,,,,,0,,
199,615,X,437602,http://stylenook.in/ecomuser/wp-content/uploads/2016/08/,http://stylenook.in/ecomillustrator/public/uploads/order-199stylecard.jpg,,"TOP 5
1) 20 Dresses Peplum Top. Size XS
2)SOIE Black Textured Loop Dress. Size:S
3)Saiesta Wine Tapered Pants; Size:XS
4) Street 9 Lisa Top. Size:S
5) All About You, White Jacket. Size:S",18/01/2017,08/02/2017,0000-00-00,,,1,0,0,,,,,,,0,,
200,618,L,376503,http://stylenook.in/ecomuser/wp-content/uploads/2017/08/Ramya.docx,http://stylenook.in/ecomillustrator/public/uploads/order-200stylecard.pdf,,,23/12/2016,07/01/2017,0000-00-00,,,1,0,0,,,,,,,0,,
201,624,L,376525,http://stylenook.in/ecomuser/wp-content/uploads/2017/08/Parthvi.docx,http://stylenook.in/ecomillustrator/public/uploads/order-201stylecard.jpg,,,27/12/2016,11/01/2017,0000-00-00,,,1,0,0,,,,,,,0,,
203,622,L,376526,http://stylenook.in/ecomuser/wp-content/uploads/2017/08/Smriti.docx,http://stylenook.in/ecomillustrator/public/uploads/order-203stylecard.jpg,,"top 5 - peach overlap top, soie jacket, saiesta powder blue top, dressberry dress (external link) , anouk mustard kurta ",29/12/2016,13/01/2017,0000-00-00,,,1,0,0,,,,,,,0,,
204,625,L,385552,http://stylenook.in/ecomuser/wp-content/uploads/2017/08/,http://stylenook.in/ecomillustrator/public/uploads/order-204stylecard.jpg,,"CORE PRODUCTS
1) Indi box Mint Green Palazzo Set
2)Vedanta Pink Loop buttons Tunic
3)Soie Blue Classy Top
4)Okhai Handcrafted Dupatta",29/12/2016,13/01/2017,2017-04-07,,,0,0,0,,,,,,,0,,
205,626,L,376522,http://stylenook.in/ecomuser/wp-content/uploads/2016/08/Test-stylenote-5-2.docx,,,Test comments. External product in size XS.,30/12/2016,14/01/2017,0000-00-00,,,1,0,0,,,,,,,0,,
206,627,L,378351,http://stylenook.in/ecomuser/wp-content/uploads/2017/08/User206-Preeti.docx,http://stylenook.in/ecomillustrator/public/uploads/order-206stylecard.jpg,,"Top 5:
http://stylenook.in/ecomuser/product/Saiesta-Dark-Rose-Bow-Top-28SAIWTP16532DKRS/ Size L
http://stylenook.in/ecomuser/product/SOIE-FULL-SLEEVES-BLOUSE-WITH-RUFFELES-AT-YOKE-AND-A-COLLARED-NECKLINE-366501I/ Size L 
http://www.myntra.com/kurtas/anouk/anouk-women-grey-solid-straight-kurta-with-inner/1485611/buy Size L 
http://stylenook.in/ecomuser/product/Titch-Button-Teal-Coloured-Cotton-Matka-Kurti-32_DFKICM208SIDBTN_TEAL/  Size L 
http://stylenook.in/ecomuser/product/Street9-Check-Shirt-27_SHR000000193/ size L 

Back Ups:
http://stylenook.in/ecomuser/product/Saiesta-Dark-Rose-Taseel-Top-28SAIWTP16524DKRS/ Size L 
http://stylenook.in/ecomuser/product/SOIE-FULL-SLEEVES-SHIRT-366512/ Size L
http://stylenook.in/ecomuser/product/Titch-Button-Blue-Coloured-COTTON-Kurti-32_DFKICTN102PLN_BLUE/ size L
http://www.myntra.com/kurtas/anouk/anouk-women-red--black-colourblocked-printed-straight-kurta/1497901/buy?src=search&uq=false&q=anouk-kurtas&p=59 Size XL  
http://stylenook.in/ecomuser/product/Street9-Scattered-Polka-Shirt-27_SHR000000190/ Size L (39)


",30/12/2016,14/01/2017,0000-00-00,,,1,0,0,,,,,,,0,,
207,346,L,376527,http://stylenook.in/ecomuser/wp-content/uploads/2017/08/Charu.docx,http://stylenook.in/ecomillustrator/public/uploads/order-207stylecard.jpg,,,30/12/2016,14/01/2017,0000-00-00,,,1,0,0,,,,,,,0,,
208,635,L,378358,http://stylenook.in/ecomuser/wp-content/uploads/2017/08/,http://stylenook.in/ecomillustrator/public/uploads/order-208stylecard.jpg,,"Top 5: 1. saiesta green bow top, 2. SOIE SIMPLE and YET CLASSY FULL SLEEVE TOP navy blue top, 3. The Minimalist Skirt, 4. Anouk Women Maroon Solid Straight Kurta (size S), 5. Stole - Retail buy                                                                                                     Back up products: 1. Saiesta Grey Yoke Pleated Top, 2. SOIE HI NECKLINE FULL SLEVES TOP WITH LACE FABRIC USED ON THE HALWAY PLACKET, 3. KAARYAH Gina Black A, 4. Anouk Rust Orange Striped Kurta (size S)",03/01/2017,18/01/2017,0000-00-00,,,1,0,0,,,,,,,0,,
210,643,L,386215,http://stylenook.in/ecomuser/wp-content/uploads/2017/08/,http://stylenook.in/ecomillustrator/public/uploads/order-210stylecard.jpg,,"CORE PRODUCTS:
1) Timeless Overlap Maroon Top -XL
2)SOIE Classy Blue Top- L
3)FabAlley Water Fall Shrug-XL
4)ABOF chanderi Kurta-L
5)Ayesha Neckpiece ",05/01/2017,20/01/2017,0000-00-00,,,1,0,0,,,,,,,0,,
211,646,L,2314584,http://stylenook.in/ecomuser/wp-content/uploads/2016/08/Sindhu.pdf,http://stylenook.in/ecomillustrator/public/uploads/order-211stylecard.cdr,,"TOP 5
1) B&W Check Print Shift Dress. M
2) Uptownie Lite Office Buttoned top. L
3) Saiesta Green Bow Top. XL
4) ABOF Light Blue Shrug. XL
5) TONIQ Silver beaded necklace",06/01/2017,21/06/2017,2017-07-03,,,1,0,0,,,,,,,0,,
212,636,X,0,,,,,09/01/2017,24/01/2017,0000-00-00,,,1,0,0,,,,,,,0,,
213,618,L,403881,http://stylenook.in/ecomuser/wp-content/uploads/2016/08/,http://stylenook.in/ecomillustrator/public/uploads/order-213stylecard.jpg,,"CORE PRODUCTS:
Saiesta Green Bow Top-L
20 Dresses Red Ruffle Top-L
Street 9 Lisa Top-M
On-Hand B&W Shrug
Myntra Navy Jacket- S, External link above",09/01/2017,24/01/2017,0000-00-00,,,1,0,0,,,,,,,0,,
214,652,X,0,,,,,10/01/2017,25/01/2017,0000-00-00,,,1,0,0,,,,,,,0,,
215,657,X,0,,,,,10/01/2017,25/01/2017,0000-00-00,,,1,0,0,,,,,,,0,,
216,658,X,0,,,,,10/01/2017,25/01/2017,0000-00-00,,,1,0,0,,,,,,,0,,
217,653,X,0,,,,,10/01/2017,25/01/2017,0000-00-00,,,1,0,0,,,,,,,0,,
218,665,X,0,,,,,11/01/2017,26/01/2017,0000-00-00,,,1,0,0,,,,,,,0,,
219,666,X,0,,,,,11/01/2017,26/01/2017,0000-00-00,,,1,0,0,,,,,,,0,,
220,274,X,0,,,,,11/01/2017,26/01/2017,0000-00-00,,,1,0,0,,,,,,,0,,
