uid,label,western_classic,western_feminine,western_contemporary,western_boho,indo_western,indian_traditional,indian_classic,indian_contemporary,indian_funky,clothes_work
10651,0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,3
9103,4,2.0,2.0,3.0,4.0,4.0,4.0,1.0,3.0,2.0,3
8786,3,2.0,3.0,2.0,1.0,2.0,3.0,3.0,3.0,3.0,6
2857,1,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,3.0,12
16629,0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,3
12989,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,12
15329,0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,3
13804,3,2.0,2.0,3.0,2.0,3.0,4.0,3.0,4.0,3.0,6
7530,2,1.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,12
15686,2,3.0,3.0,3.0,1.0,1.0,2.0,2.6,2.4,2.6,12
17741,4,1.0,1.0,1.0,1.0,3.0,2.0,4.0,4.0,2.0,3
13319,1,4.0,4.0,4.0,2.0,2.0,4.0,4.0,4.0,3.0,12
294,3,2.0,3.0,3.0,3.0,4.0,2.0,2.0,3.0,2.0,6
492,3,2.0,3.0,2.0,2.0,1.0,2.0,2.6,2.4,2.6,6
18725,4,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3
9836,4,2.0,2.0,3.0,2.0,3.0,2.0,2.6,2.4,2.6,3
10227,3,2.0,3.0,3.0,2.0,1.0,2.0,2.6,2.4,2.6,6
16684,3,2.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,6
12971,0,4.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,3
15903,4,2.0,1.0,4.0,2.0,4.0,4.0,4.0,3.0,1.0,3
9286,0,2.0,2.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,0
7714,4,4.0,4.0,4.0,1.0,4.0,2.0,2.6,2.4,2.6,3
10296,1,4.0,4.0,4.0,2.0,3.0,4.0,4.0,3.0,3.0,12
17088,2,2.0,2.0,2.0,2.0,3.0,2.0,2.6,2.4,2.6,12
