u_id,s_id,o_id,return_count,returns nms,return_count similar,nonreturn_count,return_shape
4792,12381,3525,4,3,0,1,0
8754,12381,3172,3,1,0,2,1
13356,12381,3192,5,1,0,0,2
15959,12381,3582,4,0,0,1,4
15499,12381,3501,3,1,1,2,0
12526,12381,3145,4,2,1,1,0
16251,12381,3648,5,1,0,0,4
14456,12381,3336,4,1,0,1,3
15473,12381,3502,3,0,0,2,3
9080,12381,3197,4,1,1,0,1
13622,12381,3236,5,0,2,0,1
15938,12381,3600,5,4,0,0,1
15932,12381,3567,5,0,0,0,2
11483,12381,3383,3,0,1,2,1
13179,12381,3155,4,2,1,1,1
12440,12381,3413,5,5,0,0,0
9788,12381,3249,5,1,1,3,2
13210,12381,3163,4,1,1,1,0
1508,12381,3341,5,3,0,0,1
12603,12381,3096,5,5,0,0,0
15731,12381,3557,5,0,0,0,5
14426,12381,3326,4,0,0,1,4
13457,12381,3301,4,1,0,1,1
13095,12381,3216,5,0,1,0,3
10906,12381,3084,4,2,1,1,1
13812,12381,3257,1,0,0,4,1
14748,12381,3407,4,1,2,1,0
15734,12381,3496,5,2,0,0,0
14599,12381,3408,5,0,0,0,0
17812,17931,4023,3,1,1,2,1
12947,17931,4123,5,1,0,0,3
19262,17931,4326,0,0,0,5,0
15444,17931,4135,0,0,0,5,0
9916,17931,4249,0,0,0,5,0
17893,17931,4011,5,2,0,0,1
15116,17931,4004,4,1,3,1,0
17941,17931,4018,4,0,0,1,3
19121,17931,4282,0,0,0,5,0
18125,17931,4265,0,0,0,5,0
16695,17931,4131,4,0,1,1,1
18760,17931,4204,3,1,0,2,2
14727,17931,4031,0,0,0,5,0
7332,17931,4224,0,0,0,5,0
17767,17931,4105,3,1,1,2,1
14714,17931,3997,5,0,0,0,5
18531,17931,4147,5,2,0,0,2
2709,17931,4233,5,2,0,0,2
2678,17931,4102,3,0,0,2,3
3376,17931,4289,0,0,0,5,0
19236,17931,4319,0,0,0,5,0
18618,17931,4169,3,1,2,2,0
18484,17931,4161,5,2,0,0,0
19338,17931,4347,0,0,0,5,0
5103,17931,4063,4,1,1,1,0
15448,17931,4050,4,0,2,1,0
13884,17931,4284,3,0,1,2,0
18417,17931,4366,0,0,0,5,0
18640,17931,4182,4,1,0,1,2
12863,17931,4112,2,1,0,3,1
17801,17931,4226,0,0,0,5,0
18603,17931,4166,3,0,1,2,0
8942,8864,2453,3,1,0,2,2
9041,8864,2470,5,0,3,0,1
9848,8864,2693,4,1,1,1,2
10072,8864,2729,5,5,0,0,0
1654,8864,2737,5,2,0,0,2
9466,8864,2605,5,5,0,0,0
8894,8864,2511,5,2,0,0,3
577,8864,2520,3,0,1,2,2
2269,8864,2695,3,0,2,2,1
3746,760,1561,5,2,2,0,1
1893,760,653,4,2,0,1,2
8420,760,2621,3,0,0,2,2
5524,760,2062,3,1,2,2,0
2489,760,812,3,3,0,2,0
5107,760,1510,4,2,0,1,1
3587,760,1577,2,2,0,3,0
640,760,1808,0,0,0,6,0
941,760,320,0,0,0,3,0
758,760,395,0,0,0,5,0
5024,760,1504,4,0,0,1,4
808,760,1495,5,4,1,0,0
1443,760,4243,4,3,1,1,0
3338,760,2583,2,2,0,3,0
1683,760,593,5,5,0,0,0
10191,760,2761,4,1,1,1,2
4727,760,1332,2,0,0,3,2
2196,760,1955,5,4,0,1,1
7419,760,2099,5,2,1,1,0
5362,760,2129,7,0,3,0,2
1505,760,1715,5,2,2,1,1
506,760,865,5,5,0,0,0
314,760,1288,6,4,0,0,2
2439,760,794,2,1,0,3,1
2756,760,921,2,1,0,3,1
4637,760,2140,6,5,0,0,1
1844,760,640,2,0,0,3,2
1665,760,580,3,1,0,2,2
539,760,2951,3,3,0,2,0
3869,760,1257,3,2,1,2,0
8304,760,2276,5,1,1,0,1
1454,760,663,2,1,0,3,1
1470,511,506,2,0,0,3,2
1598,511,601,4,0,1,1,0
735,511,420,0,0,0,4,0
906,511,652,5,1,1,0,2
2527,511,832,4,2,0,1,1
1093,511,351,0,0,0,5,0
619,511,429,3,2,0,2,1
356,511,425,0,0,0,5,0
1671,511,585,4,2,1,1,1
509,511,529,0,0,0,5,0
506,511,330,0,0,0,5,0
1109,511,353,0,0,0,4,0
615,511,199,0,0,0,8,0
702,511,281,0,0,0,3,0
1908,511,654,0,0,0,5,0
1766,511,667,2,0,0,2,2
1562,511,540,0,0,0,5,0
1951,511,669,1,0,1,2,0
1350,511,629,2,2,0,3,0
1329,511,458,0,0,0,5,0
2500,511,817,5,2,1,0,2
2046,511,671,2,1,0,3,0
1826,511,633,4,2,0,1,1
1673,511,586,0,0,0,5,0
1553,511,539,0,0,0,5,0
1309,511,452,0,0,0,4,0
840,511,285,0,0,0,5,0
1153,511,389,0,0,0,5,0
1464,511,841,5,1,1,0,3
1072,511,344,0,0,0,5,0
777,511,393,0,0,0,4,0
1805,511,630,3,2,0,2,0
1585,511,548,0,0,0,5,0
1294,511,447,0,0,0,5,0
748,511,409,0,0,0,3,0
2133,511,706,4,2,0,1,1
1516,511,528,3,3,0,2,0
1664,511,584,5,1,0,0,3
1691,511,591,4,2,1,1,1
2416,511,787,5,3,0,0,2
911,511,301,0,0,0,3,0
2227,511,725,4,3,0,1,1
1019,511,563,4,0,2,1,2
1077,511,345,0,0,0,5,0
1632,511,572,0,0,0,5,0
2129,511,704,0,0,0,5,0
1999,511,746,1,1,0,4,0
646,511,211,4,2,1,1,1
845,511,283,0,0,0,8,0
2055,511,673,3,1,1,2,1
1474,511,507,4,1,1,1,1
644,511,226,0,0,0,3,0
975,511,323,0,0,0,2,0
487,511,807,5,4,1,0,0
2068,511,678,5,2,0,0,2
2502,511,818,5,2,0,0,1
1260,511,442,0,0,0,5,0
970,511,321,0,0,0,3,0
1236,511,462,1,1,0,4,0
2451,511,813,3,1,1,2,1
1467,511,500,4,2,1,1,0
703,511,295,0,0,0,5,0
1543,511,537,5,2,1,0,0
914,511,324,0,0,0,5,0
1887,511,649,2,0,0,3,2
2417,511,788,0,0,0,5,0
815,511,276,0,0,0,3,0
1250,511,440,4,1,0,1,2
1290,511,446,4,0,0,0,3
2179,511,711,5,1,0,0,3
1515,511,526,4,0,1,1,1
1626,511,569,0,0,0,5,0
673,511,309,0,0,0,4,0
1214,511,430,0,0,0,5,0
1620,511,732,4,2,1,1,1
302,511,310,0,0,0,4,0
1895,511,651,0,0,0,5,0
2264,511,809,4,1,2,1,1
1576,511,545,4,0,0,1,0
1875,511,661,4,1,0,1,3
850,511,286,0,0,0,5,0
1005,511,657,1,0,0,4,1
2498,511,816,5,2,1,0,0
2057,511,675,2,1,0,1,1
2236,511,790,4,2,0,1,2
2188,511,715,5,1,1,0,1
1061,511,338,0,0,0,5,0
1049,511,335,0,0,0,5,0
577,511,710,2,1,0,3,1
2388,511,802,4,1,1,1,0
1757,511,615,5,2,1,0,1
1458,511,672,1,0,0,4,1
2355,511,759,3,0,0,0,2
2221,511,722,3,2,0,2,0
618,511,213,0,0,0,5,0
878,511,293,0,0,0,5,0
1536,511,536,2,1,0,3,0
1481,511,513,0,0,0,5,0
603,511,407,0,0,0,3,0
668,511,434,0,0,0,5,0
1828,511,664,3,2,0,2,1
502,511,402,0,0,0,4,0
1471,511,505,3,0,1,2,1
2450,511,830,5,0,0,0,5
939,511,437,5,3,1,0,1
1229,511,514,2,2,0,3,0
1196,511,423,0,0,0,3,0
1486,511,588,1,1,0,4,0
2176,511,806,5,1,0,0,3
897,511,298,0,0,0,5,0
1456,511,614,2,0,1,1,0
2098,511,692,0,0,0,5,0
625,511,204,3,1,0,5,0
1006,511,328,0,0,0,4,0
643,511,210,0,0,0,4,0
640,511,721,3,1,1,3,1
559,511,273,0,0,0,4,0
2076,511,698,3,1,0,2,1
1534,511,535,4,2,0,1,1
3669,3314,1150,5,3,1,0,0
4893,3314,1529,4,0,2,1,2
18185,3314,4118,5,2,0,0,2
7060,3314,1991,5,0,0,0,3
4896,3314,1427,0,0,0,5,0
2578,3314,4083,1,0,0,4,0
3721,3314,1103,3,1,1,2,0
577,3314,1810,4,1,2,3,1
15042,3314,3454,3,2,0,2,1
13794,3314,3256,5,2,1,0,0
15039,3314,4269,0,0,0,5,0
15386,3314,3456,2,1,0,3,1
7632,3314,2152,3,0,0,2,3
9393,3314,2570,4,3,0,1,1
2213,3314,987,4,1,0,1,2
12469,3314,3065,5,4,1,0,0
15827,3314,3511,0,0,0,5,0
3450,3314,1043,3,1,1,2,0
1361,3314,1491,2,1,1,3,0
5515,3314,1685,5,5,0,0,0
8272,3314,2270,5,1,2,0,2
4233,3314,1201,5,2,1,0,0
3586,3314,1080,3,0,1,2,0
1236,3314,1624,0,0,0,5,0
4052,3314,1249,2,0,2,3,0
3550,3314,1712,3,1,0,2,2
6098,3314,1819,4,2,1,1,1
5863,3314,1771,4,3,0,1,1
10113,3314,2735,3,1,1,2,1
6090,3314,1844,6,2,0,0,4
703,3314,1304,4,2,0,1,2
9660,3314,2629,3,2,0,2,1
5948,3314,2060,3,2,0,1,0
3542,3314,1071,4,2,0,1,1
1357,3314,2597,4,0,1,1,2
